STOP_SEQUENCE,CUM_TIME,CUM_DIST
1,0,0
1,6,0.002
1,9,0.006
1,12,0.009
1,15,0.012
1,18,0.015
1,24,0.017
1,27,0.019
2,33,0.226
3,35,0.395
10,38,1.828
21,43,3.689
27,46,4.667
31,50,5.515
35,53,5.963
43,57,6.944
47,59,7.502
51,62,8.129
53,65,8.689
58,68,9.33
61,70,9.673
61,71,9.702
61,74,9.713
62,75,9.805
64,77,10.094
68,80,10.789
70,83,11.179
73,86,11.563
76,89,12.098
82,92,12.891
90,95,14.015
104,101,15.908
57,0,0
61,4,0.459
61,6,0.484
61,9,0.523
63,12,0.723
69,16,1.578
71,18,2.002
75,21,2.612
81,24,3.481
83,27,3.764
90,30,4.63
94,33,5.174
98,36,5.687
104,39,6.682
98,0,0
101,3,0.549
64,0,0
61,3,0.395
61,9,0.425
60,10,0.546
58,12,0.834
55,15,1.36
52,18,1.807
47,21,2.668
45,24,3.065
41,26,3.578
38,27,4.042
32,30,4.572
27,33,5.503
26,36,5.793
26,38,5.902
21,39,6.512
19,41,6.895
8,48,8.879
4,51,9.669
28,0,0
26,2,0.638
20,6,1.475
11,12,3.029
8,15,3.532
3,18,4.534
1,20,4.869
1,21,4.877
1,24,4.973
1,27,4.98
1,30,4.982
1,33,4.982
1,36,4.984
1,39,4.984
1,42,4.986
1,44,4.987
1,47,4.987
1,50,4.987
1,53,4.989
1,56,4.989
1,59,4.989
1,64,4.989
1,65,4.991
1,68,4.993
104,0,0
104,3,0.03
104,6,0.032
104,9,0.033
104,15,0.035
104,18,0.037
104,30,0.113
103,33,0.376
94,39,1.783
90,42,2.258
86,45,2.832
80,48,3.53
75,51,4.246
72,54,4.732
69,57,5.33
64,60,6.16
61,62,6.455
61,63,6.464
59,66,6.704
56,68,7.211
53,72,7.734
50,74,8.191
47,77,8.656
41,81,9.551
36,83,10.209
31,86,10.657
28,89,11.172
25,91,11.824
22,92,12.272
19,94,12.794
17,95,13.172
13,98,13.941
7,104,15.013
2,107,15.94
1,108,16.09
1,0,0
1,1,0.002
1,2,0.004
1,9,0.006
1,12,0.007
1,24,0.01
1,27,0.012
1,30,0.117
2,31,0.277
3,32,0.448
8,36,1.612
12,39,2.198
14,42,2.555
21,45,3.738
27,48,4.714
30,51,5.366
36,54,6.021
43,56,6.957
45,57,7.16
48,60,7.757
53,63,8.507
53,67,8.675
61,69,9.669
61,72,9.685
61,73,9.813
61,75,9.939
64,78,10.308
69,81,11.046
72,84,11.64
77,86,12.437
81,89,13.021
83,92,13.205
92,95,14.517
98,98,15.164
104,101,16.147
104,0,0
103,2,0.247
97,7,1.277
90,10,2.13
81,15,3.326
78,16,3.746
74,19,4.398
70,24,4.853
68,25,5.49
64,28,6.202
61,30,6.386
61,31,6.41
60,33,6.525
59,34,6.619
57,37,6.994
53,40,7.457
53,41,7.677
49,43,8.243
45,46,8.897
41,49,9.503
35,52,10.22
31,55,10.647
26,58,11.638
26,59,11.732
21,61,12.367
19,62,12.738
16,64,13.317
11,67,14.141
5,70,15.262
1,73,15.892
1,0,0
1,12,0.003
1,21,0.004
1,24,0.036
2,27,0.321
3,28,0.473
5,30,0.976
14,36,2.569
17,39,3.233
21,41,3.793
27,45,4.741
32,51,5.751
1,0,0
1,1,0.062
1,2,0.065
1,5,0.068
55,0,0
59,3,0.705
65,6,1.431
1,0,0
1,3,0.002
1,6,0.004
1,15,0.006
2,17,0.162
3,18,0.361
8,23,1.519
12,26,2.076
18,29,3.148
21,31,3.674
27,34,4.626
28,35,4.979
37,38,5.712
38,0,0
38,2,0.19
38,5,0.192
31,8,0.716
27,11,1.595
25,12,1.881
22,14,2.461
19,16,2.872
12,20,4.111
3,26,5.803
2,28,6.055
1,0,0
1,3,0.052
2,5,0.293
3,6,0.49
8,9,1.467
13,12,2.316
21,17,3.76
25,18,4.329
27,20,4.72
29,21,5.225
31,25,5.836
37,0,0
38,1,0.194
38,4,0.215
31,7,0.567
25,12,1.797
19,15,2.791
12,19,4.089
1,25,5.925
1,0,0
1,11,0.073
2,14,0.276
3,16,0.428
3,17,0.508
7,20,1.299
14,23,2.585
18,26,3.382
21,27,3.782
26,29,4.466
31,32,5.6
31,33,6.062
37,0,0
38,1,0.132
38,4,0.22
31,7,0.943
26,10,1.922
26,11,1.969
19,14,3.054
16,16,3.633
11,19,4.461
6,22,5.437
4,24,5.85
4,25,5.929
2,26,6.201
1,28,6.503
1,30,6.552
3,0,0
21,9,3.243
21,10,3.333
27,13,4.349
30,15,4.883
36,18,5.538
41,21,6.22
43,23,6.483
47,24,7.109
53,28,8.162
56,30,8.5
59,33,8.985
63,36,9.484
67,39,9.981
68,41,10.288
37,0,0
31,5,0.536
26,8,1.541
26,9,1.646
20,11,2.495
69,0,0
69,3,0.003
69,6,0.008
69,9,0.011
69,12,0.015
69,15,0.017
69,18,0.019
69,24,0.021
69,25,0.023
69,27,0.141
67,29,0.413
67,30,0.534
62,33,1.107
56,36,1.828
54,39,2.191
53,41,2.534
51,42,2.882
45,45,3.874
41,47,4.317
40,48,4.573
34,51,5.162
30,53,5.705
26,56,6.377
25,58,6.627
22,59,7.186
16,62,8.127
11,65,9.073
6,68,9.894
2,71,10.705
2,72,10.835
3,0,0
12,5,1.636
21,11,3.254
26,14,4.146
31,17,5.087
34,20,5.434
40,23,5.981
44,26,6.633
48,29,7.221
53,32,8.072
53,33,8.251
65,41,9.742
71,47,10.721
80,53,12.053
87,56,13.061
98,62,14.397
104,65,15.377
104,66,15.44
104,67,15.442
108,73,16.418
113,76,17.432
19,0,0
3,8,2.965
2,9,3.174
1,0,0
1,4,0.002
1,7,0.004
1,10,0.006
1,13,0.009
1,16,0.121
2,17,0.257
3,19,0.435
14,25,2.533
21,28,3.72
27,31,4.694
31,33,5.524
38,36,6.182
43,39,6.936
48,42,7.691
52,45,8.362
53,46,8.636
56,48,8.952
59,51,9.45
63,54,9.992
68,57,10.669
69,58,10.841
71,60,11.313
74,63,11.764
79,66,12.453
81,69,12.854
83,70,13.052
87,72,13.607
93,75,14.4
97,78,14.904
104,81,16.009
104,82,16.134
112,87,17.781
118,91,18.47
113,0,0
109,3,0.729
105,6,1.828
103,7,2.151
100,9,2.64
95,12,3.435
91,14,3.953
86,17,4.657
80,20,5.359
75,23,6.101
71,26,6.637
69,29,7.078
65,32,7.807
61,35,8.268
58,38,8.694
54,41,9.223
53,42,9.613
50,44,10.112
