ix,start_index,end_index
1,1,1
2,2,13
3,14,27
4,28,57
5,58,58
6,59,77
7,78,78
8,79,80
9,81,85
11,86,116
12,117,138
13,139,139
14,140,165
15,166,200
16,201,231
17,232,246
18,247,247
19,248,276
20,277,307
21,308,338
22,339,339
23,340,371
24,372,372
25,373,410
26,411,443
27,444,444
28,445,468
29,469,483
30,484,484
31,485,525
32,526,561
33,562,597
34,598,621
35,622,633
36,634,634
37,635,669
38,670,705
39,706,736
40,737,767
41,768,772
42,773,775
43,776,804
44,805,834
45,835,835
46,836,865
47,866,866
48,867,900
49,901,940
50,941,974
51,975,1015
52,1016,1046
53,1047,1078
54,1079,1114
55,1115,1115
56,1116,1116
58,1117,1144
59,1145,1145
60,1146,1177
61,1178,1216
62,1217,1217
63,1218,1245
64,1246,1246
65,1247,1249
66,1250,1271
67,1272,1272
68,1273,1309
69,1310,1310
70,1311,1311
71,1312,1334
72,1335,1335
73,1336,1358
74,1359,1383
75,1384,1384
76,1385,1419
77,1420,1459
78,1460,1489
79,1490,1522
80,1523,1523
81,1524,1524
82,1525,1529
83,1530,1551
84,1552,1552
85,1553,1585
86,1586,1586
87,1587,1617
88,1618,1642
89,1643,1643
90,1644,1644
91,1645,1645
92,1646,1681
93,1682,1715
94,1716,1716
95,1717,1729
96,1730,1760
97,1761,1764
98,1765,1765
99,1766,1795
100,1796,1802
102,1803,1834
103,1835,1835
104,1836,1836
110,1837,1843
111,1844,1849
113,1850,1850
114,1851,1871
115,1872,1872
116,1873,1876
117,1877,1900
118,1901,1901
119,1902,1935
120,1936,1961
121,1962,1964
122,1965,1966
123,1967,1967
124,1968,2001
125,2002,2027
126,2028,2028
127,2029,2066
128,2067,2103
129,2104,2104
130,2105,2134
131,2135,2162
132,2163,2192
133,2193,2193
134,2194,2194
135,2195,2230
136,2231,2266
137,2267,2285
138,2286,2301
139,2302,2333
140,2334,2361
141,2362,2362
142,2363,2363
143,2364,2398
144,2399,2432
145,2433,2468
146,2469,2487
147,2488,2510
148,2511,2511
149,2512,2512
150,2513,2520
151,2521,2535
152,2536,2553
153,2554,2569
154,2570,2584
155,2585,2607
156,2608,2625
157,2626,2658
158,2659,2695
159,2696,2726
160,2727,2757
161,2758,2758
162,2759,2796
163,2797,2837
164,2838,2876
165,2877,2916
166,2917,2955
167,2956,2991
168,2992,3028
169,3029,3067
170,3068,3091
171,3092,3119
172,3120,3150
173,3151,3151
174,3152,3177
175,3178,3208
176,3209,3242
177,3243,3243
178,3244,3285
179,3286,3326
180,3327,3327
181,3328,3328
182,3329,3338
183,3339,3365
184,3366,3366
185,3367,3382
186,3383,3395
187,3396,3411
188,3412,3428
189,3429,3449
190,3450,3466
191,3467,3485
192,3486,3501
193,3502,3530
194,3531,3545
195,3546,3546
196,3547,3569
197,3570,3588
198,3589,3605
199,3606,3623
200,3624,3639
201,3640,3659
202,3660,3681
203,3682,3704
204,3705,3730
205,3731,3758
206,3759,3759
213,3760,3761
214,3762,3771
216,3772,3778
217,3779,3779
218,3780,3789
219,3790,3791
220,3792,3827
221,3828,3860
222,3861,3891
223,3892,3915
224,3916,3943
226,3944,3944
227,3945,3964
228,3965,3967
229,3968,3991
230,3992,4023
231,4024,4055
232,4056,4092
233,4093,4093
234,4094,4094
235,4095,4133
236,4134,4168
237,4169,4186
238,4187,4197
239,4198,4225
240,4226,4259
241,4260,4260
242,4261,4290
243,4291,4315
244,4316,4352
245,4353,4393
246,4394,4423
247,4424,4460
248,4461,4471
249,4472,4479
250,4480,4508
252,4509,4549
253,4550,4550
259,4551,4552
260,4553,4557
261,4558,4570
262,4571,4571
263,4572,4609
264,4610,4611
265,4612,4635
266,4636,4657
267,4658,4660
268,4661,4661
269,4662,4662
270,4663,4699
271,4700,4735
272,4736,4770
273,4771,4805
274,4806,4833
275,4834,4835
276,4836,4850
277,4851,4877
278,4878,4879
279,4880,4880
280,4881,4914
281,4915,4915
282,4916,4916
283,4917,4919
284,4920,4938
285,4939,4939
286,4940,4989
287,4990,5025
288,5026,5026
289,5027,5069
290,5070,5071
291,5072,5095
292,5096,5130
293,5131,5165
294,5166,5200
295,5201,5233
296,5234,5277
297,5278,5286
298,5287,5309
299,5310,5344
300,5345,5350
301,5351,5371
302,5372,5417
303,5418,5446
304,5447,5447
305,5448,5484
306,5485,5485
307,5486,5486
308,5487,5495
309,5496,5510
310,5511,5514
311,5515,5518
312,5519,5547
313,5548,5586
314,5587,5628
315,5629,5662
316,5663,5701
317,5702,5745
318,5746,5746
319,5747,5776
320,5777,5810
321,5811,5842
322,5843,5886
323,5887,5927
324,5928,5956
325,5957,5989
326,5990,6023
327,6024,6072
328,6073,6102
329,6103,6103
330,6104,6121
331,6122,6132
332,6133,6136
333,6137,6137
334,6138,6165
335,6166,6167
336,6168,6202
337,6203,6231
338,6232,6260
339,6261,6297
340,6298,6325
341,6326,6355
342,6356,6380
343,6381,6410
344,6411,6414
345,6415,6453
346,6454,6493
347,6494,6535
348,6536,6570
349,6571,6571
350,6572,6586
351,6587,6599
352,6600,6636
353,6637,6669
354,6670,6706
355,6707,6732
357,6733,6757
358,6758,6758
359,6759,6781
360,6782,6816
361,6817,6844
362,6845,6867
363,6868,6903
364,6904,6912
365,6913,6945
366,6946,6962
367,6963,6994
