CUM_TIME,CUM_DIST
0,0
0,0
2,0.768
6,1.776
12,3.646
15,4.252
18,5.452
20,5.806
21,5.816
24,5.931
27,5.938
30,5.939
33,5.939
0,0
4,0.448
6,0.475
9,0.506
12,0.688
16,1.467
18,1.804
21,2.345
24,3.085
27,3.31
30,3.997
33,4.471
36,4.88
39,5.67
0,0
2,0.208
7,1.026
10,1.74
15,2.69
16,3.028
19,3.616
24,3.991
25,4.541
28,5.239
30,5.401
31,5.42
33,5.527
34,5.621
37,5.99
40,6.361
41,6.578
43,7.151
46,7.918
49,8.615
52,9.311
55,9.812
58,11.005
59,11.119
61,11.882
62,12.33
64,13.026
67,14.019
70,15.368
73,16.125
0,0
0,0
3,0.328
9,0.364
10,0.482
12,0.758
15,1.26
18,1.704
21,2.648
24,3.106
26,3.696
27,4.218
30,4.687
33,5.808
36,6.156
38,6.288
39,7.022
41,7.483
48,9.872
51,10.816
0,0
0,0
3,0.436
0,0
3,0.029
6,0.03
9,0.033
15,0.034
0,0
6,1.24
9,1.768
10,1.938
13,2.438
15,2.766
18,3.195
21,3.586
24,3.956
27,4.403
30,4.826
33,5.307
36,5.616
39,6.116
42,6.497
45,6.897
48,7.217
51,7.474
54,7.647
57,7.894
59,8.249
60,8.383
63,9.033
66,9.582
69,10.275
72,10.866
75,11.15
78,11.642
81,12.09
84,12.844
87,13.674
0,0
2,0.008
5,0.009
13,0.011
21,0.012
22,0.015
25,0.338
28,1.213
29,1.334
34,2.36
37,2.704
40,2.936
43,3.734
46,4.033
49,4.557
52,5.198
56,5.838
58,6.238
61,6.524
64,6.807
67,7.035
70,7.411
0,0
0,0
3,0.031
5,0.229
6,0.718
11,1.348
12,1.54
15,2.069
18,2.467
21,2.875
24,3.301
28,3.968
30,4.442
33,4.983
36,5.451
38,5.908
39,6.111
42,6.499
45,6.779
48,7.135
51,7.299
54,7.655
57,8.051
60,8.396
63,8.633
66,9.078
72,9.666
0,0
2,0.096
3,0.173
6,0.521
9,1.136
11,1.921
12,2.054
14,2.431
20,3.339
23,3.863
27,4.331
28,4.502
29,4.795
32,5.235
35,5.678
38,6.099
41,6.428
44,7.097
47,7.407
50,7.905
53,8.188
56,8.864
59,9.638
62,10.372
65,10.979
68,11.411
71,11.843
74,12.286
77,13.082
80,13.857
81,14.131
83,14.994
86,15.837
89,16.671
93,17.926
0,0
1,0.182
3,0.354
9,1.768
15,3.549
17,4.331
18,4.429
21,5.193
22,5.489
24,5.921
26,6.397
29,6.858
32,7.094
35,8.019
41,9.389
43,9.996
44,10.145
47,10.621
49,11.01
50,11.03
53,11.037
57,11.159
59,11.444
62,12.02
65,12.375
68,12.892
71,13.434
74,13.949
77,14.61
83,15.475
86,16.257
0,0
9,3.903
10,4.012
13,5.234
15,5.877
18,6.649
21,7.319
23,7.619
24,8.344
28,9.471
30,9.748
33,10.218
36,10.697
39,11.128
41,11.44
0,0
0,0
2,0.185
4,0.357
6,1.139
9,2.068
15,4.319
18,5.481
21,5.997
24,6.693
27,7.066
30,7.612
32,8.006
33,8.206
36,9.164
39,9.921
42,10.221
45,10.88
48,11.194
50,11.689
52,11.917
53,12.124
56,12.612
59,13.006
62,13.325
66,13.761
68,14.218
71,14.85
74,15.146
