CUM_TIME,CUM_DIST
0,0
0,0
2,0.633
6,1.838
11,3.639
13,4.24
17,5.539
19,5.782
19,5.782
19,5.782
19,5.782
19,5.782
19,5.782
0,0
4,0.682
4,0.682
4,0.682
11,0.898
16,1.757
18,2.044
21,2.635
25,3.347
27,3.571
31,4.274
34,4.745
36,5.156
41,5.98
0,0
1,0.199
4,0.928
8,1.663
13,2.565
14,2.899
17,3.503
19,3.898
23,4.51
27,5.119
28,5.283
28,5.283
28,5.283
36,5.531
37,5.8
41,6.196
42,6.373
44,7.062
47,7.828
49,8.545
52,9.165
54,9.72
58,10.908
58,10.908
61,11.877
62,12.23
64,12.939
67,13.914
71,15.295
74,15.972
0,0
0,0
4,0.334
4,0.334
12,0.582
13,0.732
17,1.237
18,1.414
23,2.538
24,2.843
27,3.56
29,4.015
32,4.536
37,5.574
38,5.945
39,6.213
41,6.913
42,7.266
49,9.552
52,10.597
0,0
0,0
3,0.5
0,0
0,0.074
0,0.074
0,0.074
0,0.074
0,0
9,1.335
12,1.93
13,2.03
16,2.534
18,2.858
22,3.281
24,3.681
27,4.052
30,4.497
33,4.916
36,5.404
38,5.717
41,6.167
44,6.595
47,6.99
51,7.315
53,7.583
54,7.835
57,8.041
58,8.218
59,8.447
63,9.163
65,9.665
68,10.383
72,10.902
75,11.246
77,11.596
80,12.151
83,12.784
87,13.752
0,0
1,0.19
1,0.19
1,0.19
1,0.19
1,0.19
3,0.637
6,1.355
8,1.668
12,2.557
14,2.893
17,3.198
22,3.967
23,4.237
26,4.768
29,5.396
34,6.203
38,6.616
40,6.857
42,7.101
45,7.349
48,7.752
0,0
0,0
2,0.024
3,0.187
6,0.735
8,1.189
10,1.502
12,1.999
14,2.391
18,2.901
21,3.294
24,3.927
27,4.456
29,5.083
31,5.407
33,5.768
36,6.108
39,6.524
40,6.765
43,7.129
45,7.295
48,7.698
51,8.153
53,8.407
55,8.639
58,9.055
62,9.646
0,0
0,0.087
1,0.209
3,0.532
6,1.169
10,1.942
11,2.141
13,2.443
19,3.322
23,3.871
25,4.297
27,4.497
29,4.795
32,5.249
34,5.686
38,6.105
40,6.52
44,7.101
46,7.427
49,7.946
51,8.153
55,8.885
58,9.625
62,10.517
65,11.037
69,11.468
71,11.939
72,12.244
76,13.145
78,13.845
79,14.198
82,15.082
85,15.883
88,16.757
94,17.937
0,0
5,0.201
6,0.417
11,1.759
17,3.606
20,4.33
20,4.33
24,5.333
25,5.646
27,5.931
28,6.287
31,6.871
32,7.093
37,8.023
41,9.342
43,9.869
45,10.15
48,10.652
51,11.048
51,11.048
51,11.048
58,11.168
60,11.506
63,12.128
65,12.416
68,13.006
71,13.49
74,13.991
77,14.694
82,15.525
86,16.341
0,0
9,3.911
9,3.911
13,5.226
15,5.867
18,6.633
20,7.247
21,7.58
23,8.271
27,9.385
30,9.741
32,10.179
34,10.632
37,11.037
41,11.423
0,0
0,0
5,0.201
6,0.417
8,1.202
10,2.008
16,4.332
20,5.648
21,5.933
24,6.709
26,7.071
29,7.685
30,8.019
31,8.178
35,9.174
38,9.851
41,10.207
45,10.889
47,11.137
50,11.773
51,11.994
51,11.994
56,12.596
58,12.983
60,13.3
63,13.801
65,14.205
69,14.868
70,15.125
