CUM_TIME,STOP_SEQUENCE
0,116
0,89
2,91
6,97
11,106
13,109
17,114
19,116
19,116
19,116
19,116
19,116
19,116
0,56
4,61
4,61
4,61
11,63
16,69
18,71
21,75
25,81
27,83
31,90
34,94
36,98
41,104
0,2
1,3
4,9
8,16
13,25
14,28
17,32
19,35
23,39
27,44
28,47
28,47
28,47
36,48
37,50
41,52
42,53
44,57
47,61
49,65
52,71
54,75
58,80
58,80
61,85
62,87
64,90
67,95
71,101
74,105
0,105
0,53
4,58
4,58
12,59
13,60
17,63
18,64
23,70
24,72
27,76
29,79
32,85
37,90
38,91
39,92
41,96
42,98
49,109
52,113
0,116
0,96
3,100
0,103
0,104
0,104
0,104
0,104
0,2
9,11
12,14
13,15
16,19
18,22
22,26
24,29
27,33
30,37
33,41
36,44
38,47
41,49
44,52
47,55
51,59
53,61
54,62
57,63
58,64
59,65
63,69
65,72
68,76
72,80
75,84
77,86
80,89
83,91
87,96
0,19
1,20
1,20
1,20
1,20
1,20
3,22
6,26
8,27
12,31
14,33
17,37
22,42
23,44
26,47
29,50
34,54
38,57
40,59
42,61
45,64
48,67
0,101
0,1
2,2
3,3
6,6
8,8
10,9
12,11
14,13
18,17
21,21
24,25
27,28
29,31
31,33
33,35
36,37
39,39
40,41
43,44
45,46
48,49
51,51
53,52
55,54
58,57
62,62
0,1
0,2
1,3
3,5
6,9
10,13
11,14
13,17
19,25
23,30
25,34
27,36
29,38
32,42
34,45
38,48
40,50
44,56
46,59
49,62
51,63
55,67
58,71
62,76
65,80
69,85
71,87
72,89
76,92
78,96
79,98
82,102
85,106
88,110
94,116
0,1
5,2
6,3
11,8
17,17
20,21
20,21
24,26
25,27
27,28
28,30
31,33
32,36
37,43
41,50
43,53
45,54
48,58
51,61
51,61
51,61
58,62
60,65
63,69
65,71
68,75
71,79
74,83
77,90
82,98
86,104
0,2
9,20
9,20
13,26
15,29
18,35
20,40
21,42
23,46
27,52
30,55
32,58
34,62
37,66
41,68
0,68
0,1
5,2
6,3
8,6
10,10
16,21
20,27
21,28
24,32
26,36
29,41
30,43
31,44
35,49
38,53
41,56
45,61
47,64
50,68
51,69
51,69
56,74
58,76
60,79
63,83
65,87
69,93
70,94
73,99
0,1
0,2
2,4
7,10
9,12
10,13
15,19
18,23
24,31
26,35
27,36
29,38
32,42
35,46
38,48
40,50
44,54
46,58
49,60
51,62
54,64
55,65
59,69
61,72
63,75
68,81
69,84
72,87
76,91
77,92
78,93
0,19
1,20
1,20
1,20
1,20
1,20
1,20
1,20
1,20
1,20
1,20
2,21
3,23
7,27
12,32
15,36
18,40
21,44
23,47
26,50
29,53
31,54
33,56
36,59
39,63
42,66
45,69
51,75
54,78
56,81
58,83
0,1
0,1
3,3
6,7
7,8
7,8
10,10
11,11
13,13
17,17
21,22
24,25
27,29
28,30
28,30
30,32
35,36
41,41
43,43
47,46
53,51
58,54
61,57
64,61
65,62
68,66
71,69
74,73
76,76
79,80
83,85
85,86
94,96
0,101
0,1
3,3
3,3
6,6
8,8
11,10
13,12
14,13
18,17
23,23
24,25
26,27
28,30
32,34
33,35
37,38
40,41
41,43
44,46
45,47
48,50
49,51
51,52
55,56
56,57
59,61
62,64
63,65
64,68
67,72
69,75
72,78
78,86
78,86
80,88
82,91
84,95
86,97
0,1
0,2
1,3
4,7
7,10
11,14
13,17
17,23
20,27
22,31
24,35
25,36
28,40
30,43
34,47
37,50
43,58
44,59
47,62
50,64
55,69
57,72
61,77
65,83
67,86
69,89
72,91
76,97
76,98
79,101
82,106
85,110
91,116
0,116
0,2
2,6
3,7
4,9
10,20
14,26
18,31
21,37
24,41
27,46
29,48
32,52
35,55
38,59
44,67
45,68
45,68
49,72
52,75
57,82
59,88
62,92
63,95
67,102
0,1
4,5
8,10
11,14
12,15
16,20
18,24
19,25
21,27
24,31
27,34
31,37
34,40
36,43
39,47
0,1
0,1
2,2
3,3
6,7
9,10
11,13
14,16
15,18
16,20
16,20
19,24
20,25
23,29
26,32
29,35
32,37
35,39
35,39
38,42
40,44
41,46
45,49
48,51
53,54
57,58
59,61
61,64
62,65
66,69
68,72
71,75
74,78
77,80
79,82
83,87
84,89
90,95
93,98
95,100
98,103
101,105
0,1
5,2
5,2
8,5
11,7
13,10
16,13
20,17
24,21
27,25
30,27
31,28
33,30
36,33
40,38
44,42
45,43
48,47
51,50
54,53
61,58
64,61
67,64
70,67
73,69
73,69
76,71
79,74
83,77
85,80
88,83
88,84
93,90
96,93
100,98
106,104
0,1
3,3
9,11
12,15
16,20
17,23
19,25
21,27
24,31
28,35
29,36
32,38
34,39
35,41
38,44
40,47
43,49
46,51
50,53
50,53
53,56
56,59
59,62
62,66
66,71
69,74
72,77
76,80
76,80
80,85
81,87
87,93
89,96
92,99
97,104
98,105
0,3
1,4
2,6
11,20
13,22
16,27
21,34
23,38
26,43
28,45
30,48
35,53
37,55
41,58
44,62
46,64
48,67
51,69
54,71
57,75
61,80
63,83
68,93
73,100
0,103
0,104
0,104
0,104
0,104
0,104
0,104
0,104
0,104
0,104
0,104
0,104
0,105
0,1
3,3
7,8
10,12
13,15
16,19
20,25
21,26
25,31
28,34
30,36
33,38
35,39
37,41
40,44
41,46
45,49
48,51
51,52
53,54
56,57
60,61
63,65
65,67
69,72
72,75
75,78
78,80
79,81
84,87
88,92
91,95
94,98
98,102
102,105
0,1
5,2
6,3
13,8
16,11
19,14
23,18
25,20
29,25
32,27
33,28
37,32
43,39
45,41
47,44
51,48
54,51
56,53
60,56
62,57
62,57
64,59
67,62
71,65
74,68
77,70
79,72
82,75
85,78
86,80
88,82
91,86
93,90
96,93
99,98
103,103
0,1
3,3
10,12
12,15
14,18
17,22
20,26
23,30
26,33
28,36
33,39
34,41
37,44
41,48
43,50
47,52
48,53
51,56
53,58
56,61
59,65
63,69
65,72
68,75
71,78
75,81
78,85
79,87
87,96
89,99
92,102
0,1
5,2
6,3
15,11
17,14
21,18
25,22
29,26
33,29
35,31
38,35
44,42
46,46
50,50
52,53
52,53
55,56
58,59
60,62
61,64
65,68
66,69
70,72
73,76
78,82
79,83
81,88
84,92
88,97
91,102
99,113
0,1
5,5
8,10
9,11
11,16
0,18
9,33
11,35
0,1
4,2
5,3
11,14
14,21
18,27
21,31
24,38
26,43
29,48
32,52
33,53
36,56
38,59
41,63
45,68
46,69
48,71
50,74
54,79
55,81
57,83
58,87
62,93
64,97
68,104
68,104
74,112
78,118
0,1
0,2
3,5
7,10
10,13
11,14
14,18
19,24
21,27
24,31
26,35
27,36
29,38
33,43
36,46
40,49
41,50
45,55
48,59
50,61
53,63
54,64
57,67
59,71
63,76
66,80
68,84
71,88
73,90
75,92
0,1
0,13
1,14
3,17
6,20
9,24
12,27
15,32
16,34
18,36
21,40
24,43
26,46
32,50
33,52
36,55
40,59
42,61
46,63
48,65
50,67
53,71
55,74
57,76
58,77
62,81
64,84
66,86
69,89
73,92
76,96
0,105
0,1
3,3
8,9
12,15
16,20
18,24
19,25
20,26
24,31
27,34
32,38
34,39
37,42
39,44
41,47
44,49
47,51
51,53
51,53
54,56
56,58
59,61
62,65
67,70
70,74
73,77
75,79
78,81
83,87
86,90
91,96
95,100
97,102
101,105
0,1
5,2
8,4
11,7
14,10
17,13
21,16
25,20
26,21
29,25
31,26
31,26
33,27
35,29
39,33
42,37
46,41
47,43
48,44
51,48
54,51
56,53
58,55
61,57
63,60
64,61
67,64
69,67
72,69
72,69
77,73
80,76
83,80
86,83
90,90
94,94
103,105
105,108
108,112
111,117
0,1
1,3
4,7
9,12
11,14
14,18
18,24
23,31
24,34
25,35
26,36
28,39
30,42
35,47
38,50
38,50
42,55
45,59
48,62
51,64
55,68
58,72
58,72
61,76
66,83
68,86
70,89
73,91
77,97
77,98
83,105
85,109
89,113
92,116
0,9
8,17
11,20
11,20
11,20
12,21
17,26
21,29
23,31
23,31
26,34
28,37
33,42
33,43
36,46
39,50
44,54
44,55
44,55
46,57
48,59
49,61
51,63
54,67
56,69
56,69
60,72
63,75
65,77
66,79
68,81
70,83
71,86
72,87
75,91
77,94
80,99
85,105
87,108
91,114
93,117
0,1
2,4
9,13
10,14
13,19
17,24
20,28
22,33
24,36
25,38
28,42
31,45
34,48
37,51
40,55
42,59
45,62
49,65
53,69
56,74
58,76
60,79
63,84
67,89
70,91
71,92
71,92
74,97
81,109
87,116
87,116
0,1
5,8
11,13
12,14
16,19
19,23
22,26
22,26
23,27
27,33
29,36
31,39
35,43
37,46
41,49
43,50
45,52
48,55
50,58
53,60
56,62
60,64
63,67
66,70
68,73
75,81
78,85
80,87
82,89
85,91
85,91
89,96
0,19
1,20
1,20
1,20
1,20
1,20
2,21
6,26
8,27
9,28
10,29
12,31
16,35
20,40
22,42
23,43
24,45
28,49
31,52
32,53
34,54
38,57
41,60
42,61
45,63
48,66
52,69
54,70
58,74
62,77
65,81
66,82
69,86
72,90
74,92
81,100
0,101
0,118
0,13
1,14
2,16
6,20
9,24
12,28
15,33
17,36
17,36
21,41
24,45
26,47
29,49
31,50
33,53
36,57
39,59
42,62
45,63
46,64
49,67
53,72
55,75
59,80
62,84
66,88
68,90
71,92
0,105
0,1
1,2
5,7
9,12
12,15
15,20
18,24
21,28
24,31
27,34
30,36
33,38
34,39
38,43
40,46
43,48
46,50
49,51
51,53
55,57
58,60
61,64
66,69
68,72
70,74
73,77
76,79
77,80
79,83
82,86
93,98
96,101
0,1
14,9
16,12
19,14
22,17
25,20
26,21
26,21
29,25
33,27
34,28
36,30
39,33
43,38
45,40
47,42
47,43
49,45
51,48
55,52
60,56
63,59
66,63
69,66
71,68
72,69
72,69
76,72
80,76
82,79
85,82
86,83
88,87
90,90
93,93
97,98
101,103
103,105
109,113
0,1
0,4
2,8
6,12
8,14
9,17
12,22
14,26
17,32
20,37
23,42
26,45
29,48
32,52
36,58
38,60
41,63
42,64
44,67
47,72
49,76
50,79
53,85
56,89
58,91
59,92
62,98
69,109
72,113
0,116
0,119
-4,113
-7,109
0,19
1,20
1,20
1,20
1,20
1,20
1,20
1,20
2,21
5,25
8,27
11,30
14,33
18,38
21,42
22,43
22,44
25,47
28,50
33,54
38,59
40,61
0,1
0,1
2,2
3,3
3,3
7,8
10,10
12,12
15,15
17,18
20,21
24,25
25,27
28,30
31,33
35,36
37,38
41,41
44,44
46,46
49,48
51,50
51,50
52,51
55,53
58,56
62,59
65,63
67,65
67,66
70,69
76,77
80,81
82,85
85,87
87,89
91,94
94,98
0,101
0,105
0,26
1,27
4,32
8,37
13,43
15,47
15,47
15,47
23,48
24,50
28,52
29,53
31,56
34,61
36,65
39,70
41,75
43,78
46,81
49,87
53,93
56,98
61,105
0,105
0,2
4,9
6,13
10,20
14,26
16,28
19,32
21,37
24,42
27,46
30,49
32,52
37,56
40,60
43,63
47,67
47,67
48,68
50,69
53,73
55,76
60,82
66,93
0,1
2,2
3,3
4,5
8,9
11,14
14,17
17,23
19,25
21,27
24,31
26,33
28,36
31,38
32,39
33,40
36,44
40,48
43,51
46,53
47,54
49,56
52,59
55,64
57,67
0,1
0,1
3,3
6,7
10,12
13,15
14,16
16,20
20,25
21,26
23,29
26,32
30,36
35,39
39,43
42,47
44,48
46,50
51,52
52,53
56,57
59,60
61,63
63,65
64,66
69,72
72,75
78,80
78,80
84,87
85,89
88,92
92,96
94,98
99,103
102,105
0,1
5,2
6,3
7,4
11,7
13,10
15,12
19,16
19,16
24,21
27,25
30,27
31,28
34,31
37,34
40,38
45,43
47,46
51,50
56,54
58,56
61,58
65,62
67,64
70,67
72,68
72,68
72,68
73,69
73,69
78,72
81,75
83,78
87,82
88,83
89,85
92,90
95,93
98,98
104,104
0,1
2,2
10,12
13,16
15,19
16,20
16,21
19,25
22,29
24,31
27,35
30,37
33,39
35,42
38,45
41,48
42,49
44,51
49,54
52,57
55,60
59,65
65,72
68,75
71,78
75,81
79,87
85,93
88,97
96,105
0,1
5,2
7,4
11,7
17,13
24,20
25,21
28,24
32,27
34,29
38,33
42,38
43,40
45,43
48,46
53,52
54,53
54,53
56,55
59,58
60,59
60,60
63,63
67,68
68,69
77,79
81,83
83,88
86,92
95,104
96,105
98,108
102,114
0,119
0,116
0,99
1,101
1,101
1,101
-4,92
0,19
1,20
1,20
1,20
1,20
3,22
6,26
6,26
9,28
11,30
14,34
18,39
22,43
22,44
26,48
29,51
31,53
35,56
39,59
41,61
43,63
46,65
0,101
0,1
2,2
3,3
7,8
11,11
13,13
16,16
20,21
22,23
24,26
27,29
30,32
33,35
36,37
40,40
42,42
45,45
46,46
52,51
54,52
58,56
62,59
64,62
67,65
70,69
73,73
75,76
80,81
81,83
84,86
87,89
90,93
94,99
0,101
0,1
6,3
9,6
11,8
14,12
17,15
20,19
23,22
25,25
27,26
33,31
35,34
39,39
41,41
42,43
43,44
47,49
49,52
50,53
53,56
54,57
56,60
58,63
63,69
67,72
69,75
75,83
76,86
80,91
84,98
89,104
0,3
9,14
13,21
17,27
20,32
21,35
22,36
24,38
27,42
29,45
33,48
35,50
36,52
40,58
41,59
44,62
46,63
51,69
53,73
55,76
57,79
59,84
62,88
66,92
69,98
0,2
0,1
0,105
0,1
3,3
6,7
9,11
14,16
16,19
19,24
20,25
22,27
25,31
28,34
32,37
33,38
35,39
38,42
41,46
42,47
48,51
51,52
52,53
53,54
57,58
60,61
63,65
67,69
69,72
72,75
75,78
78,80
79,81
80,82
84,87
91,95
94,98
97,101
102,105
0,1
5,2
6,3
26,21
28,24
32,27
32,27
38,33
40,36
45,41
46,43
48,45
50,48
54,52
55,53
59,56
62,59
64,61
67,64
70,67
73,69
73,69
76,71
79,74
80,75
83,79
87,83
90,89
92,91
98,98
101,102
103,104
107,108
110,113
0,101
0,1
5,2
6,3
7,4
11,7
19,16
24,21
30,27
34,31
39,37
45,43
46,45
53,52
0,3
2,5
7,10
9,13
12,16
15,20
15,20
18,24
20,25
23,27
26,30
28,32
32,37
35,42
36,43
37,44
38,46
40,49
44,54
47,58
50,63
53,67
54,68
56,69
59,73
61,75
65,81
69,89
72,93
74,97
79,103
0,103
0,104
0,104
0,104
0,105
0,8
1,9
4,12
6,14
13,23
16,27
18,30
20,34
22,36
26,41
28,43
29,45
34,49
36,50
36,51
39,54
44,59
44,59
46,61
47,62
52,65
54,67
57,70
60,75
64,79
67,84
70,87
73,90
76,92
78,95
0,96
1,97
1,97
1,97
1,97
1,97
1,97
0,1
3,3
5,6
9,9
10,10
13,13
16,16
19,20
24,25
25,27
29,31
33,35
37,38
40,41
44,45
47,47
50,50
51,51
54,53
58,57
61,61
64,64
67,68
70,72
72,75
79,83
82,86
82,86
85,89
88,92
91,98
93,100
0,3
0,116
0,17
-1,15
-4,10
-6,5
-8,3
-8,3
-9,1
0,26
4,30
9,35
9,35
13,38
18,42
0,1
0,2
5,11
9,20
12,25
16,30
17,33
20,39
22,43
24,47
27,52
27,52
36,64
41,70
47,79
50,86
56,97
59,103
59,103
59,103
62,107
65,112
0,1
0,96
1,97
1,97
1,97
0,1
12,23
16,27
18,30
21,35
25,41
25,42
27,44
30,48
33,52
33,52
36,55
38,58
41,62
45,67
49,70
51,73
53,76
58,82
61,89
63,93
67,99
70,104
74,109
0,118
0,19
1,20
1,20
1,20
1,20
1,20
1,20
2,21
4,24
7,27
10,30
13,33
16,37
19,41
20,43
22,45
23,47
27,51
29,53
33,56
36,59
38,62
40,64
45,69
49,72
50,74
51,75
53,78
54,79
55,80
57,83
62,91
65,95
69,99
0,3
4,9
10,16
16,24
16,25
18,27
20,30
24,34
25,35
29,38
32,41
33,43
37,47
40,50
41,51
44,53
46,56
48,58
53,65
56,72
60,77
66,86
69,89
73,94
76,99
77,100
0,1
6,7
8,10
0,18
10,35
0,35
0,1
1,3
4,8
8,12
10,14
11,16
13,19
17,24
19,27
20,30
21,32
25,37
27,41
28,42
31,45
34,48
36,50
38,53
40,57
42,59
45,62
48,64
48,64
50,67
53,72
56,76
60,84
64,89
66,91
67,92
70,96
71,98
81,111
86,116
0,1
4,2
5,3
18,21
22,26
30,35
33,39
35,43
38,46
40,49
44,53
44,53
47,56
49,58
51,60
55,65
58,68
59,69
63,72
66,76
69,81
71,83
72,86
76,91
78,95
85,104
0,119
0,1
5,2
6,3
11,8
17,16
21,21
27,27
29,29
31,31
33,34
39,41
40,43
42,45
44,48
48,52
49,53
54,57
57,60
59,62
63,66
65,68
66,69
66,69
70,72
71,73
72,74
76,78
77,80
79,82
80,84
83,89
91,98
92,100
96,104
96,104
100,108
103,113
107,118
0,1
0,2
2,4
5,8
7,10
11,14
17,22
19,24
23,29
25,32
27,35
28,36
30,39
33,42
36,45
38,47
43,50
46,54
49,58
51,59
53,61
57,63
59,65
60,66
63,69
65,72
68,76
68,76
74,83
76,86
78,88
82,91
83,92
84,93
87,98
99,111
105,116
0,116
0,1
0,2
5,9
7,11
10,14
12,17
15,22
19,27
21,32
23,35
24,36
25,38
28,42
31,45
34,48
36,50
38,53
41,58
42,59
44,61
47,63
49,65
51,68
54,72
57,76
58,77
62,85
69,92
72,98
87,116
0,1
4,2
5,3
14,16
18,21
22,27
26,31
28,34
31,39
33,43
40,53
44,56
46,59
47,60
48,61
48,61
55,62
55,63
55,63
59,68
61,70
65,75
69,81
71,83
75,93
78,98
80,101
82,104
0,2
3,7
8,16
10,20
10,20
14,26
14,26
17,30
19,35
23,41
23,42
26,46
28,49
30,52
31,53
34,57
37,60
41,66
43,68
43,68
47,72
50,75
55,82
58,89
66,102
67,103
69,105
72,110
76,116
77,117
0,118
0,116
0,1
0,2
1,3
5,8
8,11
11,14
16,20
19,23
22,27
24,30
27,33
29,36
31,38
34,42
38,46
41,48
44,50
50,58
53,60
55,62
58,63
60,65
61,66
64,69
66,72
67,74
69,76
71,78
75,84
79,88
84,92
88,98
90,100
94,104
97,108
101,112
0,1
5,2
5,2
6,3
10,7
12,10
16,14
18,16
22,21
26,26
30,29
32,31
34,33
36,37
41,42
41,43
43,45
45,48
49,52
50,53
52,54
54,56
57,59
59,61
67,69
70,71
73,74
76,77
78,80
81,83
85,90
88,93
89,94
93,99
98,105
104,113
0,1
0,2
2,4
6,9
11,14
12,16
16,20
16,20
18,23
21,27
22,29
23,30
24,31
26,35
27,36
27,36
27,36
27,36
27,36
0,1
5,2
6,3
7,4
10,7
14,11
17,14
18,16
22,20
24,22
27,26
28,27
30,28
33,31
35,34
38,38
0,1
2,4
4,8
7,11
10,14
11,16
14,21
17,25
19,30
23,36
25,40
29,45
32,48
34,50
35,52
38,57
41,61
43,62
44,63
45,64
49,69
51,72
54,76
54,76
58,83
61,87
65,91
65,91
69,98
73,103
75,107
82,116
0,1
3,6
8,15
10,19
13,24
16,30
18,32
20,35
23,38
27,45
29,47
32,50
34,52
35,53
37,56
37,56
42,64
45,69
46,73
47,74
48,76
51,79
54,84
55,86
57,89
60,94
63,98
68,104
0,104
0,119
0,1
5,2
9,6
11,9
14,13
19,18
21,21
27,27
31,31
33,34
37,38
40,42
43,46
45,49
49,53
51,55
55,58
59,62
61,64
65,68
66,69
66,69
71,73
76,79
79,82
80,83
82,86
84,90
87,93
90,97
93,101
96,104
97,105
100,109
104,114
0,1
1,3
4,7
8,11
11,14
15,19
18,23
22,27
24,31
26,34
28,36
32,41
34,43
38,47
43,50
49,58
51,59
54,62
59,65
63,69
66,73
68,76
73,82
74,84
77,87
79,89
82,91
83,92
87,98
92,103
95,106
98,110
101,113
103,115
0,1
5,2
6,3
9,6
12,9
15,13
20,17
23,21
27,26
30,28
32,30
35,33
39,39
42,42
42,43
44,45
47,49
53,54
55,56
56,57
58,60
60,62
63,65
66,68
70,71
73,74
76,77
81,83
81,84
83,87
86,91
88,94
91,98
96,104
97,105
104,114
0,1
0,2
5,8
6,9
11,14
15,19
18,24
21,28
24,33
26,36
30,41
32,43
35,47
38,49
42,53
44,56
48,60
48,60
48,61
0,2
9,18
9,20
11,24
12,25
17,32
19,37
21,42
25,48
27,52
27,52
30,55
32,59
35,63
39,68
39,68
42,72
49,82
49,83
52,90
56,97
59,103
64,112
0,118
0,1
0,68
3,69
3,69
3,69
3,69
3,69
3,69
3,69
0,1
2,2
4,4
9,9
13,13
16,17
22,25
23,26
26,30
28,32
33,36
36,39
38,41
42,46
43,47
0,1
3,2
5,3
8,7
11,11
15,14
19,16
22,19
25,22
27,25
29,28
30,29
33,33
36,37
39,41
41,43
44,45
45,47
0,1
5,6
9,9
12,12
14,14
17,18
21,23
22,25
24,27
26,30
31,35
31,35
33,37
37,40
41,44
45,48
0,49
2,50
4,53
7,57
10,59
13,62
16,63
19,66
22,69
25,73
27,76
35,86
38,89
41,91
42,92
0,1
3,3
3,3
7,8
9,9
9,9
10,10
11,11
13,13
16,17
21,23
22,25
25,28
28,32
31,35
33,36
35,38
36,39
39,42
39,42
40,43
43,46
47,50
0,1
3,2
9,8
13,12
15,14
19,16
19,16
21,18
21,18
24,21
27,25
30,29
33,33
36,36
38,39
41,42
45,45
47,49
0,1
3,3
7,8
10,10
14,14
15,16
20,22
22,25
25,29
26,30
30,34
31,35
33,36
36,39
38,41
38,42
38,42
40,44
44,48
47,51
51,54
54,57
56,59
58,62
61,65
62,67
62,68
64,71
67,75
70,78
75,85
76,86
83,94
0,1
0,2
2,4
4,8
7,11
10,14
11,16
16,23
16,23
19,27
23,33
26,37
29,42
32,45
35,48
38,51
41,55
42,58
44,60
45,61
46,62
48,63
49,64
52,68
55,72
59,77
62,81
65,86
67,89
70,91
70,91
72,95
74,98
78,103
81,107
89,116
89,116
0,2
5,7
8,12
9,14
14,20
17,25
19,27
22,30
25,35
29,42
32,47
36,52
36,52
38,54
40,56
41,58
43,60
47,66
51,69
55,74
57,77
61,82
62,85
66,91
69,96
73,102
75,103
75,103
75,103
75,103
75,103
0,1
3,3
3,3
6,8
9,13
13,21
14,24
15,26
18,31
22,36
25,39
29,45
30,47
30,47
30,47
30,47
30,47
39,49
39,50
43,52
46,56
49,61
51,64
55,72
58,77
61,80
61,80
64,85
65,87
72,97
78,105
0,105
0,3
1,4
2,6
7,11
10,14
15,20
18,24
18,25
19,26
22,30
25,35
26,36
27,37
28,39
31,42
33,45
35,47
39,50
42,54
43,56
45,58
47,60
49,62
53,65
58,70
59,72
61,75
65,80
67,83
69,86
71,89
72,90
74,91
75,92
77,95
79,98
86,108
89,112
0,1
5,3
10,8
13,13
17,18
19,21
19,21
25,27
27,29
29,31
31,33
33,36
38,42
38,43
40,45
44,50
47,53
47,53
49,54
49,54
54,59
56,61
61,66
64,69
64,69
68,72
72,76
74,79
78,83
78,84
81,88
82,90
84,93
87,96
90,100
93,104
93,104
95,106
99,110
100,113
103,117
0,1
1,3
4,7
8,11
10,13
11,14
14,18
17,21
21,25
24,29
27,33
29,36
33,41
35,43
38,46
42,49
44,50
46,53
49,56
52,59
55,62
58,63
59,64
62,67
65,70
67,73
69,76
71,78
75,83
76,85
81,90
85,93
89,98
89,99
93,103
96,106
99,109
102,112
107,116
0,1
5,2
6,3
8,5
11,8
15,13
22,21
26,26
28,27
29,28
32,31
34,34
38,39
41,43
44,47
48,51
52,54
54,56
54,56
57,59
58,61
60,63
61,64
63,67
66,69
66,69
70,72
73,75
77,80
80,83
82,87
84,90
87,93
89,95
92,100
96,104
97,105
99,107
102,111
105,116
0,1
0,2
3,5
6,9
9,12
11,14
15,20
18,24
21,28
24,34
26,36
28,38
31,42
33,45
35,47
38,49
40,50
42,53
45,57
48,59
50,61
51,62
54,63
57,66
60,69
65,76
70,83
74,87
79,92
80,94
82,98
92,111
97,116
97,116
97,116
97,116
97,116
97,116
97,116
0,1
4,6
6,8
9,13
13,19
14,20
16,23
19,26
21,28
25,32
27,36
31,41
31,42
33,44
35,47
40,52
40,52
42,54
45,56
48,61
50,63
54,67
55,68
58,70
61,74
64,77
67,81
68,82
69,84
74,91
77,96
79,98
81,101
83,103
89,111
93,117
0,1
0,2
2,4
10,13
11,14
13,17
19,23
22,27
25,31
27,33
31,38
34,42
37,46
40,48
43,50
44,52
47,55
51,59
51,59
52,60
54,62
58,64
65,72
68,76
74,83
76,86
79,89
82,91
82,91
85,95
87,98
94,105
96,108
99,111
103,114
103,115
105,116
0,1
5,2
8,5
11,8
12,10
15,14
17,16
21,21
27,27
28,28
31,31
33,33
35,36
39,41
42,45
45,49
46,50
49,53
51,55
54,57
58,61
61,64
63,66
65,68
66,69
66,69
69,71
76,78
77,80
80,83
82,86
83,88
86,92
88,94
89,96
92,99
96,104
100,108
103,113
0,1
0,2
2,4
7,10
10,13
11,14
12,15
14,18
16,20
19,24
23,28
26,33
28,36
31,40
34,43
36,46
40,49
42,50
42,51
45,54
47,57
50,59
51,60
52,61
0,1
5,2
5,2
6,3
8,5
8,5
15,12
15,13
18,16
23,21
26,25
29,27
29,27
32,30
34,32
35,34
37,36
41,41
42,43
43,44
45,47
48,50
50,53
50,53
53,56
56,59
57,60
57,60
0,1
0,2
4,7
6,10
10,14
15,22
18,27
22,34
23,36
27,42
30,46
32,48
34,50
36,53
39,58
41,60
43,62
45,63
47,65
50,69
55,76
58,80
60,85
64,89
67,92
70,98
72,100
78,109
81,113
84,116
84,116
0,116
0,3
1,4
4,9
8,14
10,18
13,23
15,27
19,35
20,36
23,41
25,45
30,50
34,56
37,61
39,62
42,65
42,66
46,72
48,76
51,84
54,89
57,92
60,98
64,103
67,109
70,113
0,1
4,2
5,3
11,14
14,19
18,26
19,27
21,29
24,33
27,38
30,43
32,45
36,50
38,52
39,53
44,58
47,61
49,64
54,69
58,73
61,76
65,82
65,82
66,83
68,88
70,91
72,94
76,101
78,104
83,111
86,116
0,1
1,3
4,7
7,10
10,13
11,14
15,19
19,24
