cum_time,cum_dist
0,0
5,0.33665
6,0.68404
7,1.11172
8,1.49765
9,1.96509
10,2.31896
11,2.86699
12,3.03337
12,3.26582
14,3.7266
14,3.9616
15,4.23575
16,4.74657
17,5.01968
18,5.41077
19,5.84523
20,6.20152
20,6.44416
21,6.7513
22,7.0134
23,7.47155
24,7.65403
25,7.89667
25,8.14264
27,8.62959
29,9.13444
30,9.59514
31,9.93619
32,10.16771
33,10.56737
34,10.84648
35,11.10947
35,11.28189
36,11.48972
37,11.56984
37,11.75126
39,12.00013
39,12.23043
40,12.39579
41,12.71697
42,13.07947
43,13.25719
43,13.51502
44,13.81412
45,14.11229
46,14.37344
47,14.69827
48,15.12595
49,15.38967
50,15.66355
51,15.87363
52,16.25666
54,16.71603
55,16.81464
57,17.1729
58,17.49603
59,17.64313
60,17.89177
61,18.08975
62,18.29234
63,18.48954
65,18.67245
66,18.79477
68,19.18241
68,19.33019
69,19.45758
71,19.84243
72,20.20654
74,20.62776
75,20.96649
76,21.25498
77,21.40427
77,21.57953
78,21.94331
79,22.21845
80,22.41164
81,22.62662
81,22.77178
82,23.00066
83,23.23665
84,23.40645
85,23.6122
85,23.74513
86,23.91318
86,24.08132
87,24.29085
88,24.37418
88,24.49586
89,24.79306
90,25.04619
91,25.21257
91,25.41537
92,25.82848
93,25.97458
94,26.14189
94,26.30929
95,26.51854
96,26.83186
97,26.98654
97,27.14868
98,27.38282
99,27.53059
100,27.90265
101,28.23736
102,28.53206
103,28.90723
104,29.20368
104,29.54051
106,29.91402
106,30.0757
107,30.27794
107,30.48857
108,30.80081
108,30.96574
109,31.24606
110,31.71132
111,31.92758
111,32.03129
0,0
5,0.33665
6,0.68404
7,1.11172
8,1.49765
9,1.96509
10,2.31896
11,2.86699
12,3.03337
12,3.26582
14,3.7266
14,3.9616
15,4.23575
16,4.74657
17,5.01968
18,5.41077
19,5.84523
20,6.20152
20,6.44416
21,6.7513
22,7.0134
23,7.47155
24,7.65403
25,7.89667
25,8.14264
27,8.62959
29,9.13444
30,9.59514
31,9.93619
32,10.16771
33,10.56737
34,10.84648
35,11.10947
35,11.28189
36,11.48972
37,11.56984
37,11.75126
39,12.00013
39,12.23043
40,12.39579
41,12.71697
42,13.07947
43,13.25719
43,13.51502
44,13.81412
45,14.11229
46,14.37344
47,14.69827
48,15.12595
49,15.38967
50,15.66355
51,15.87363
52,16.25666
54,16.71603
55,16.81464
57,17.1729
58,17.49603
59,17.64313
60,17.89177
61,18.08975
62,18.29234
63,18.48954
65,18.67245
66,18.79477
68,19.18241
68,19.33019
69,19.45758
71,19.84243
72,20.20654
74,20.62776
75,20.96649
76,21.25498
77,21.40427
78,21.57953
79,21.94331
80,22.21845
81,22.41164
82,22.62662
82,22.77178
83,23.00066
84,23.23665
85,23.40645
86,23.6122
86,23.74513
87,23.91318
87,24.08132
88,24.29085
89,24.37418
89,24.49586
90,24.79306
91,25.04619
92,25.21257
92,25.41537
93,25.82848
94,25.97458
95,26.14189
95,26.30929
96,26.51854
97,26.83186
98,26.98654
98,27.14868
99,27.38282
100,27.53059
101,27.90265
102,28.23736
103,28.53206
104,28.90723
105,29.20368
105,29.54051
107,29.91402
107,30.0757
108,30.27794
108,30.48857
109,30.80081
109,30.96574
110,31.24606
111,31.71132
112,31.92758
112,32.03129
0,0
2,0.04062
3,0.30272
4,0.76087
5,0.94335
6,1.18599
6,1.43196
8,1.91891
10,2.42376
11,2.88446
12,3.22551
13,3.45703
14,3.85669
15,4.1358
16,4.39879
16,4.57121
17,4.77904
18,4.85916
18,5.04058
20,5.28945
20,5.51975
21,5.68511
22,6.00629
23,6.36879
24,6.54651
24,6.80434
25,7.10344
26,7.40161
27,7.66276
28,7.98759
29,8.41527
30,8.67899
31,8.95287
32,9.16295
33,9.54598
35,10.00535
36,10.10396
38,10.46222
39,10.78535
40,10.93245
41,11.18109
42,11.37907
43,11.58166
44,11.77886
46,11.96177
47,12.08409
49,12.47173
49,12.61951
50,12.7469
52,13.13175
53,13.49586
55,13.91708
56,14.25581
57,14.5443
58,14.69359
59,14.86885
60,15.23263
61,15.50777
62,15.70096
63,15.91594
63,16.0611
64,16.28998
65,16.52597
66,16.69577
67,16.90152
67,17.03445
68,17.2025
69,17.37064
69,17.58017
70,17.6635
70,17.78518
71,18.08238
72,18.33551
73,18.50189
74,18.70469
75,19.1178
75,19.2639
76,19.43121
77,19.59861
77,19.80786
79,20.12118
79,20.27586
80,20.438
81,20.67214
81,20.81991
83,21.18169
83,21.30028
0,0
5,0.33665
7,0.68404
8,1.11172
10,1.49765
12,1.96509
13,2.31896
15,2.86699
16,3.03337
17,3.26582
18,3.7266
19,3.9616
20,4.23575
22,4.74657
23,5.01968
25,5.41077
27,5.84523
28,6.20152
29,6.44416
30,6.7513
31,7.0134
33,7.47155
33,7.65403
34,7.89667
35,8.14264
37,8.62959
39,9.13444
40,9.59514
41,9.93619
42,10.16771
43,10.56737
44,10.84648
45,11.10947
46,11.28189
47,11.48972
47,11.56984
48,11.75126
49,12.00013
50,12.23043
51,12.39579
52,12.71697
53,13.07947
54,13.25719
54,13.51502
55,13.81412
56,14.11229
57,14.37344
58,14.69827
59,15.12595
60,15.38967
61,15.66355
62,15.87363
63,16.25666
65,16.71603
66,16.81464
68,17.1729
70,17.49603
71,17.64313
72,17.89177
73,18.08975
74,18.29234
75,18.48954
77,18.67245
78,18.79477
80,19.18241
81,19.33019
82,19.45758
84,19.84243
85,20.20654
87,20.62776
88,20.96649
90,21.25498
90,21.40427
91,21.57953
93,21.94331
94,22.21845
95,22.41164
95,22.62662
96,22.77178
97,23.00066
98,23.23665
99,23.40645
100,23.6122
100,23.74513
101,23.91318
102,24.08132
102,24.29085
103,24.37418
103,24.49586
104,24.79306
105,25.04619
106,25.21257
107,25.41537
108,25.82848
109,25.97458
109,26.14189
110,26.30929
111,26.51854
112,26.83186
112,26.98654
113,27.14868
114,27.38282
115,27.53059
116,27.90265
0,0
5,0.33665
7,0.68404
8,1.11172
10,1.49765
12,1.96509
13,2.31896
15,2.86699
16,3.03337
17,3.26582
18,3.7266
19,3.9616
20,4.23575
22,4.74657
23,5.01968
25,5.41077
27,5.84523
28,6.20152
29,6.44416
30,6.7513
31,7.0134
33,7.47155
33,7.65403
34,7.89667
35,8.14264
37,8.62959
39,9.13444
40,9.59514
41,9.93619
42,10.16771
43,10.56737
44,10.84648
45,11.10947
46,11.28189
47,11.48972
47,11.56984
48,11.75126
49,12.00013
50,12.23043
51,12.39579
52,12.71697
53,13.07947
54,13.25719
54,13.51502
55,13.81412
56,14.11229
57,14.37344
58,14.69827
59,15.12595
60,15.38967
61,15.66355
62,15.87363
63,16.25666
65,16.71603
66,16.81464
68,17.1729
69,17.49603
70,17.64313
71,17.89177
72,18.08975
73,18.29234
74,18.48954
76,18.67245
77,18.79477
79,19.18241
79,19.33019
80,19.45758
82,19.84243
83,20.20654
85,20.62776
86,20.96649
87,21.25498
88,21.40427
89,21.57953
90,21.94331
91,22.21845
92,22.41164
93,22.62662
93,22.77178
94,23.00066
95,23.23665
96,23.40645
97,23.6122
97,23.74513
98,23.91318
99,24.08132
99,24.29085
100,24.37418
100,24.49586
101,24.79306
102,25.04619
103,25.21257
104,25.41537
105,25.82848
106,25.97458
106,26.14189
107,26.30929
108,26.51854
109,26.83186
109,26.98654
110,27.14868
111,27.38282
112,27.53059
113,27.90265
0,0
1,0.33408
1,0.50286
2,0.66741
2,0.8408
3,1.0353
4,1.34853
4,1.55778
5,1.72518
5,1.89258
6,2.08863
7,2.51275
7,2.65855
8,2.82484
8,3.11641
9,3.41314
9,3.49684
10,3.58017
10,3.79007
11,3.95784
11,4.11962
12,4.29679
12,4.45931
13,4.63123
13,4.86758
14,5.13233
15,5.26523
15,5.43403
16,5.6349
17,5.90286
18,6.26664
18,6.4422
19,6.62643
20,6.92267
21,7.26057
22,7.66971
23,8.00315
24,8.35207
25,8.55937
25,8.70679
26,8.90581
27,9.17969
28,9.35781
28,9.48838
28,9.62745
29,9.78926
30,10.19687
31,10.44313
32,10.63791
33,11.04974
35,11.39582
36,11.68434
37,12.06214
37,12.27475
38,12.6003
39,12.83987
40,13.2676
40,13.5867
41,13.7951
41,14.07924
42,14.38489
42,14.52871
43,14.87262
44,15.24023
44,15.56121
45,15.72571
45,15.97638
46,16.15493
47,16.33644
47,16.42908
47,16.68332
48,16.86543
48,17.07415
49,17.43043
50,17.83342
50,18.02858
51,18.32548
52,18.74882
53,19.34619
54,19.77798
54,20.06977
55,20.26661
55,20.44731
56,20.90724
57,21.28977
57,21.47648
58,21.71912
58,22.0763
59,22.62007
60,22.90096
61,23.17329
61,23.68411
62,24.01331
62,24.19316
63,24.65393
64,24.94155
64,25.16308
65,25.60258
66,25.95634
67,26.41975
67,26.86665
68,27.27643
69,27.57184
70,27.93111
0,0
2,0.13855
3,0.47263
3,0.64141
4,0.80596
5,0.97935
5,1.17385
6,1.48708
7,1.69633
7,1.86373
8,2.03113
8,2.22718
9,2.6513
10,2.7971
10,2.96339
11,3.25496
12,3.55169
12,3.63539
12,3.71872
13,3.92862
14,4.09639
14,4.25817
15,4.43534
15,4.59786
16,4.76978
17,5.00613
17,5.27088
18,5.40378
19,5.57258
19,5.77345
20,6.04141
21,6.40519
22,6.58075
23,6.76498
24,7.06122
25,7.39912
26,7.80826
27,8.1417
28,8.49062
29,8.69792
30,8.84534
31,9.04436
32,9.31824
32,9.49636
33,9.62693
33,9.766
34,9.92781
36,10.33542
37,10.58168
37,10.77646
39,11.18829
41,11.53437
42,11.82289
43,12.20069
44,12.4133
45,12.73885
45,12.97842
46,13.40615
47,13.72525
47,13.93365
48,14.21779
49,14.52344
49,14.66726
50,15.01117
51,15.37878
52,15.69976
52,15.86426
53,16.11493
54,16.29348
54,16.47499
55,16.56763
55,16.82187
56,17.00398
56,17.2127
57,17.56898
58,17.97197
59,18.16713
60,18.46403
61,18.88737
62,19.48474
63,19.91653
63,20.20832
64,20.40516
64,20.58586
65,21.04579
66,21.42832
66,21.61503
67,21.85767
68,22.21485
69,22.75862
69,23.03951
70,23.31184
71,23.82266
71,24.15186
72,24.33171
73,24.79248
73,25.0801
74,25.30163
75,25.74113
75,26.09489
76,26.5583
77,27.0052
78,27.41498
79,27.71039
80,28.06966
0,0
1,0.33408
2,0.50286
3,0.66741
4,0.8408
5,1.0353
6,1.34853
7,1.55778
8,1.72518
8,1.89258
9,2.08863
10,2.51275
11,2.65855
12,2.82484
13,3.11641
14,3.41314
15,3.49684
15,3.58017
16,3.79007
17,3.95784
18,4.11962
18,4.29679
19,4.45931
20,4.63123
21,4.86758
23,5.13233
23,5.26523
24,5.43403
25,5.6349
26,5.90286
28,6.26664
29,6.4422
30,6.62643
31,6.92267
32,7.26057
34,7.66971
36,8.00315
38,8.35207
39,8.55937
39,8.70679
40,8.90581
41,9.17969
42,9.35781
43,9.48838
44,9.62745
44,9.78926
46,10.19687
47,10.44313
48,10.63791
50,11.04974
53,11.39582
54,11.68434
55,12.06214
56,12.27475
57,12.6003
58,12.83987
59,13.2676
60,13.5867
61,13.7951
62,14.07924
63,14.38489
63,14.52871
64,14.87262
65,15.24023
66,15.56121
67,15.72571
68,15.97638
68,16.15493
69,16.33644
70,16.42908
71,16.68332
71,16.86543
72,17.07415
73,17.43043
74,17.83342
75,18.02858
76,18.32548
77,18.74882
79,19.34619
80,19.77798
81,20.06977
82,20.26661
82,20.44731
84,20.90724
85,21.28977
85,21.47648
86,21.71912
87,22.0763
88,22.62007
89,22.90096
90,23.17329
91,23.68411
92,24.01331
92,24.19316
93,24.65393
94,24.94155
94,25.16308
96,25.60258
96,25.95634
98,26.41975
99,26.86665
100,27.27643
101,27.57184
102,27.93111
0,0
1,0.14592
1,0.34981
3,0.77923
4,1.05072
4,1.22697
5,1.40399
6,1.74623
8,2.12103
9,2.41748
10,2.75477
12,3.08773
13,3.41967
14,3.75375
15,3.92253
16,4.08708
17,4.26047
18,4.45497
19,4.7682
20,4.97745
21,5.14485
21,5.31225
22,5.5083
23,5.93242
24,6.07822
25,6.24451
26,6.53608
27,6.83281
28,6.91651
28,6.99984
29,7.20974
30,7.37751
31,7.53929
31,7.71646
32,7.87898
33,8.0509
34,8.28725
36,8.552
36,8.6849
37,8.8537
38,9.05457
39,9.32253
41,9.68631
42,9.86187
43,10.0461
44,10.34234
45,10.68024
47,11.08938
49,11.42282
51,11.77174
52,11.97904
52,12.12646
53,12.32548
54,12.59936
55,12.77748
56,12.90805
57,13.04712
57,13.20893
59,13.61654
60,13.8628
61,14.05758
63,14.46941
66,14.81549
67,15.10401
68,15.48181
69,15.69442
70,16.01997
71,16.25954
72,16.68727
73,17.00637
74,17.21477
75,17.49891
76,17.80456
76,17.94838
77,18.29229
78,18.6599
79,18.98088
80,19.14538
81,19.39605
81,19.5746
82,19.75611
83,19.84875
84,20.10299
84,20.2851
85,20.49382
86,20.8501
87,21.25309
88,21.44825
89,21.74515
90,22.16849
92,22.76586
93,23.19765
94,23.48944
94,23.68628
95,23.86698
96,24.32691
97,24.62386
0,0
1,0.14592
1,0.34981
2,0.77923
3,1.05072
4,1.22697
5,1.40399
6,1.74623
7,2.12103
8,2.41748
10,2.75477
11,3.08773
12,3.41967
13,3.75375
14,3.92253
15,4.08708
15,4.26047
16,4.45497
17,4.7682
18,4.97745
19,5.14485
19,5.31225
20,5.5083
21,5.93242
22,6.07822
23,6.24451
24,6.53608
25,6.83281
25,6.91651
26,6.99984
26,7.20974
27,7.37751
28,7.53929
28,7.71646
29,7.87898
30,8.0509
31,8.28725
32,8.552
33,8.6849
33,8.8537
34,9.05457
35,9.32253
37,9.68631
38,9.86187
38,10.0461
40,10.34234
41,10.68024
43,11.08938
44,11.42282
46,11.77174
47,11.97904
48,12.12646
49,12.32548
50,12.59936
51,12.77748
51,12.90805
52,13.04712
53,13.20893
55,13.61654
56,13.8628
57,14.05758
59,14.46941
62,14.81549
63,15.10401
64,15.48181
65,15.69442
66,16.01997
67,16.25954
68,16.68727
69,17.00637
70,17.21477
71,17.49891
72,17.80456
72,17.94838
73,18.29229
74,18.6599
75,18.98088
76,19.14538
77,19.39605
77,19.5746
78,19.75611
79,19.84875
80,20.10299
80,20.2851
81,20.49382
82,20.8501
83,21.25309
84,21.44825
85,21.74515
86,22.16849
88,22.76586
89,23.19765
90,23.48944
91,23.68628
91,23.86698
93,24.32691
94,24.70944
95,24.89615
95,25.13879
96,25.49597
98,26.03974
98,26.32063
99,26.59296
101,27.10378
101,27.43298
102,27.61283
103,28.0736
104,28.36122
105,28.58275
106,29.02225
107,29.37601
108,29.83942
109,30.28632
110,30.6961
111,30.99151
113,31.35078
0,0
1,0.14592
1,0.34981
2,0.77923
3,1.05072
4,1.22697
5,1.40399
6,1.74623
7,2.12103
8,2.41748
10,2.75477
11,3.08773
12,3.41967
13,3.75375
14,3.92253
15,4.08708
15,4.26047
16,4.45497
17,4.7682
18,4.97745
19,5.14485
19,5.31225
20,5.5083
21,5.93242
22,6.07822
23,6.24451
24,6.53608
25,6.83281
25,6.91651
26,6.99984
26,7.20974
27,7.37751
28,7.53929
28,7.71646
29,7.87898
30,8.0509
31,8.28725
32,8.552
33,8.6849
33,8.8537
34,9.05457
35,9.32253
37,9.68631
38,9.86187
38,10.0461
40,10.34234
41,10.68024
43,11.08938
44,11.42282
46,11.77174
47,11.97904
48,12.12646
49,12.32548
50,12.59936
51,12.77748
51,12.90805
52,13.04712
53,13.20893
55,13.61654
56,13.8628
57,14.05758
59,14.46941
62,14.81549
63,15.10401
64,15.48181
65,15.69442
66,16.01997
67,16.25954
68,16.68727
69,17.00637
70,17.21477
71,17.49891
72,17.80456
72,17.94838
73,18.29229
74,18.6599
75,18.98088
76,19.14538
77,19.39605
77,19.5746
78,19.75611
79,19.84875
80,20.10299
80,20.2851
81,20.49382
82,20.8501
83,21.25309
84,21.44825
85,21.74515
86,22.16849
88,22.76586
89,23.19765
90,23.48944
91,23.68628
91,23.86698
93,24.32691
94,24.70944
95,24.89615
95,25.13879
96,25.49597
98,26.03974
98,26.32063
99,26.59296
101,27.10378
101,27.43298
102,27.61283
103,28.0736
104,28.36122
105,28.58275
106,29.02225
107,29.37601
108,29.83942
109,30.28632
110,30.6961
111,30.99151
113,31.35078
0,0
0,0
1,0.20389
2,0.63331
3,0.9048
4,1.08105
4,1.25807
5,1.60031
7,1.97511
8,2.27156
9,2.60885
10,2.94181
11,3.27375
12,3.60783
13,3.77661
14,3.94116
14,4.11455
15,4.30905
16,4.62228
17,4.83153
18,4.99893
18,5.16633
19,5.36238
