route_id,rel
854,0.578
733,0.65
794,0.67
720,0.684
704,0.69
710,0.697
705,0.7
18,0.7
534,0.701
105,0.706
217,0.708
40,0.713
210,0.714
102,0.715
266,0.719
788,0.72
910,0.72
780,0.72
2,0.722
20,0.727
770,0.737
734,0.74
211,0.741
760,0.742
28,0.742
33,0.743
603,0.749
220,0.752
757,0.754
744,0.754
4,0.755
81,0.756
204,0.756
212,0.756
728,0.757
16,0.758
10,0.758
460,0.759
92,0.761
183,0.763
207,0.763
442,0.764
45,0.765
30,0.765
60,0.767
258,0.768
740,0.771
51,0.778
550,0.778
252,0.779
251,0.781
115,0.781
754,0.785
71,0.785
175,0.785
117,0.786
78,0.787
94,0.787
612,0.788
108,0.788
125,0.788
206,0.788
68,0.788
222,0.789
120,0.79
66,0.79
762,0.791
14,0.791
750,0.791
35,0.791
260,0.795
62,0.796
265,0.798
55,0.8
152,0.802
611,0.802
53,0.802
90,0.803
130,0.803
154,0.804
745,0.805
70,0.807
163,0.807
487,0.81
254,0.812
232,0.817
239,0.818
111,0.818
256,0.819
218,0.82
166,0.821
76,0.821
201,0.822
150,0.825
180,0.826
209,0.829
665,0.83
126,0.83
233,0.831
190,0.832
205,0.833
237,0.836
450,0.837
685,0.839
268,0.839
234,0.839
230,0.84
344,0.844
200,0.844
110,0.845
83,0.848
577,0.85
485,0.851
156,0.852
501,0.855
292,0.858
751,0.858
164,0.859
267,0.86
165,0.862
687,0.863
167,0.864
169,0.866
224,0.866
245,0.867
605,0.867
202,0.87
270,0.87
155,0.872
236,0.874
177,0.878
161,0.883
128,0.886
243,0.886
96,0.887
607,0.889
176,0.892
246,0.899
127,0.903
620,0.905
158,0.916
901,0.92
106,0.925
625,0.962
