route_id,delay,rel,rec-day,trip-day,delay-rank,rel-rank
2,5.07,72,870,80,10,52
4,4.68,76,800,64,25,79
10,4.73,76,680,50,22,90
14,4.35,79,830,79,62,80
16,4.51,76,1370,87,43,49
18,5.11,70,890,58,7,39
20,4.67,73,720,56,26,81
28,4.89,74,630,49,14,82
30,4.49,77,630,54,45,53
33,4.53,74,500,55,41,54
35,4.46,79,530,39,49,68
40,5.07,71,840,51,9,55
45,4.53,77,710,59,40,69
51,4.41,78,1140,96,56,56
53,4.11,80,590,42,79,127
55,4.18,80,310,36,72,70
60,4.54,77,740,69,38,40
62,4.44,80,370,25,52,98
66,3.88,79,450,51,94,140
68,4.28,79,410,21,66,57
70,4.24,81,400,40,67,108
71,4.1,79,90,10,80,71
76,4.13,82,390,34,75,120
78,4.24,79,440,49,68,118
81,4.82,76,600,52,17,121
83,3.58,85,180,20,118,136
90,4.24,80,410,41,69,58
92,4.58,76,330,31,31,59
94,4.36,79,340,34,60,72
96,3.15,89,160,11,135,3
102,5.09,72,280,16,8,31
105,5.16,71,550,33,5,73
106,2.74,93,90,4,142,10
108,4.47,79,740,65,46,99
110,3.91,85,560,36,92,100
111,4.21,82,750,46,70,109
115,4.57,78,760,55,35,101
117,4.45,79,510,25,51,60
120,4.38,79,400,17,58,41
125,4.11,79,380,24,78,1
126,3.85,83,30,7,99,42
127,2.98,90,110,5,139,141
128,3.15,89,110,7,136,13
130,3.99,80,190,17,89,4
150,3.92,83,650,45,91,74
152,4.08,80,540,48,84,110
154,4.06,80,130,8,85,14
155,3.47,87,130,12,124,43
158,3,92,190,17,138,142
161,3.2,88,110,15,133,111
163,4.11,81,500,42,77,131
164,3.66,86,450,37,111,112
165,3.47,86,420,45,125,122
166,4.01,82,480,34,88,61
167,3.38,86,270,14,130,8
169,3.61,87,190,17,117,62
175,3.63,79,40,6,115,137
176,3.5,89,170,10,123,143
177,2.79,88,20,3,141,63
180,4.03,83,410,36,86,128
183,4.7,76,190,13,24,44
200,3.76,84,430,35,104,130
201,4.1,82,100,5,82,45
202,3.42,87,50,10,129,27
204,4.53,76,530,48,39,102
205,3.8,83,380,19,102,11
206,4.3,79,460,37,65,91
207,4.47,76,610,44,47,123
209,4.18,83,90,6,71,138
210,4.95,71,670,38,13,32
211,4.57,74,80,16,34,20
212,4.63,76,610,45,28,113
217,4.99,71,380,31,12,21
218,3.68,82,180,8,107,5
222,4.42,79,150,15,54,114
224,3.58,87,440,31,119,103
230,3.87,84,240,19,95,132
232,3.82,82,500,32,100,7
233,3.89,83,340,36,93,124
234,3.79,84,290,24,103,115
236,3.45,87,210,21,126,104
237,3.98,84,170,12,90,64
239,3.87,82,130,14,96,65
243,3.35,89,150,11,132,105
245,3.53,87,280,24,121,119
246,3.13,90,190,19,137,76
251,4.46,78,400,28,48,92
252,4.51,78,120,9,44,93
254,4.02,81,130,7,87,23
256,4.1,82,230,11,83,25
258,4.45,77,150,13,50,33
260,4.58,80,450,38,32,116
265,4.31,80,150,7,64,106
266,4.8,72,260,15,20,12
267,3.66,86,220,15,108,125
268,3.65,84,130,17,112,50
292,3.52,86,170,18,122,46
344,3.63,84,120,16,114,83
442,4.57,76,10,4,33,126
460,4.61,76,410,38,30,34
487,4.13,81,280,26,76,95
501,3.43,86,60,9,128,117
534,4.89,70,220,27,16,84
550,4.42,78,160,12,53,15
577,3.64,85,100,15,113,28
603,4.37,75,550,40,59,6
605,3.37,87,130,10,131,66
607,3.69,89,40,2,106,29
611,4.4,80,170,8,57,35
612,4.35,79,190,7,61,67
625,2.27,96,70,7,144,2
665,3.86,83,40,5,98,36
685,3.69,84,110,4,105,9
687,3.55,86,70,7,120,133
704,5.16,69,440,43,4,48
705,4.89,70,380,43,15,37
710,5.04,70,390,33,11,16
720,5.28,68,1220,109,3,96
728,4.52,76,320,37,42,86
733,5.51,65,660,49,1,38
734,4.55,74,250,25,37,17
740,4.66,77,210,21,27,87
744,4.72,75,430,22,23,51
745,4.1,81,260,30,81,88
750,4.16,79,280,29,74,18
751,3.66,86,190,21,109,134
754,4.35,79,470,56,63,107
757,4.56,75,360,43,36,135
760,4.82,74,270,26,18,30
762,4.62,79,220,22,29,77
770,4.82,74,250,27,19,78
780,5.16,72,320,44,6,89
788,4.18,72,80,26,73,97
794,5.41,67,300,28,2,19
901,2.39,92,1310,75,143,139
910,4.78,72,380,77,21,24
