Bus Route,Average Delay (mins)
2,3.79
4,3.43
10,3.43
14,3.12
16,3.4
18,4.02
20,3.41
28,3.55
30,3.32
33,3.43
35,3.19
40,3.77
45,3.35
51,3.31
53,2.72
55,3.05
60,3.48
62,3.15
66,2.48
68,3.2
70,2.92
71,3.2
76,2.8
78,2.92
81,3.29
83,2.26
90,3.16
92,3.39
94,3.29
96,2.66
102,3.94
105,3.87
106,2.2
108,3.16
110,2.65
111,2.82
115,3.18
117,3.37
120,3.26
125,3.53
126,3.01
127,1.86
128,2.54
130,3.43
150,2.8
152,2.84
154,3.27
155,2.63
158,1.82
161,2.25
163,2.74
164,2.51
165,2.27
166,2.91
167,2.79
169,2.64
175,2.18
176,2
177,1.99
180,2.61
183,3.54
200,2.51
201,3.05
202,2.64
204,3.13
205,3.1
206,3.1
207,3.03
209,2.64
210,3.83
211,3.62
212,3.26
217,4.04
218,3.2
222,3.06
224,2.43
230,2.44
232,3.18
233,2.68
234,2.66
236,2.39
237,2.87
239,3
243,2.31
245,2.28
246,2.23
251,3.13
252,3.28
254,3.2
256,3.22
258,3.39
260,3.18
265,3.11
266,3.97
267,2.43
268,2.73
292,2.69
344,2.62
442,3.04
460,3.59
487,2.88
501,2.2
534,3.66
550,3.41
577,2.74
603,3.87
605,2.42
607,2.85
611,3.18
612,3.14
625,1.91
665,2.82
685,3.02
687,2.27
704,4.04
705,3.84
710,4.1
720,3.85
728,3.3
733,4.38
734,3.8
740,3.41
744,3.43
745,3.01
750,3.38
751,2.41
754,3.07
757,3.1
760,3.91
762,3.28
770,3.51
780,3.56
788,2.99
794,4.48
901,1.45
910,3.89
