Bus Route,Average Delay (mins)
794,4.48
733,4.38
710,4.1
217,4.04
704,4.04
18,4.02
266,3.97
102,3.94
760,3.91
910,3.89
603,3.87
105,3.87
720,3.85
705,3.84
210,3.83
734,3.8
2,3.79
40,3.77
534,3.66
211,3.62
460,3.59
780,3.56
28,3.55
183,3.54
125,3.53
770,3.51
60,3.48
33,3.43
4,3.43
130,3.43
10,3.43
744,3.43
20,3.41
550,3.41
740,3.41
16,3.4
258,3.39
92,3.39
750,3.38
117,3.37
45,3.35
30,3.32
51,3.31
728,3.3
81,3.29
94,3.29
252,3.28
762,3.28
154,3.27
120,3.26
212,3.26
256,3.22
254,3.2
218,3.2
71,3.2
68,3.2
35,3.19
260,3.18
115,3.18
232,3.18
611,3.18
90,3.16
108,3.16
62,3.15
612,3.14
204,3.13
251,3.13
14,3.12
265,3.11
206,3.1
757,3.1
205,3.1
754,3.07
222,3.06
201,3.05
55,3.05
442,3.04
207,3.03
685,3.02
745,3.01
126,3.01
239,3
788,2.99
70,2.92
78,2.92
166,2.91
487,2.88
237,2.87
607,2.85
152,2.84
665,2.82
111,2.82
150,2.8
76,2.8
167,2.79
577,2.74
163,2.74
268,2.73
53,2.72
292,2.69
233,2.68
234,2.66
96,2.66
110,2.65
209,2.64
169,2.64
202,2.64
155,2.63
344,2.62
180,2.61
128,2.54
164,2.51
200,2.51
66,2.48
230,2.44
267,2.43
224,2.43
605,2.42
751,2.41
236,2.39
243,2.31
245,2.28
687,2.27
165,2.27
83,2.26
161,2.25
246,2.23
501,2.2
106,2.2
175,2.18
176,2
177,1.99
625,1.91
127,1.86
158,1.82
901,1.45
