Bus Route,On-Time Performance Rate
733,0.65
794,0.67
720,0.68
704,0.69
710,0.7
18,0.7
705,0.7
534,0.7
105,0.71
217,0.71
40,0.71
210,0.71
102,0.72
266,0.72
788,0.72
910,0.72
780,0.72
2,0.72
20,0.73
770,0.74
734,0.74
211,0.74
28,0.74
760,0.74
33,0.74
603,0.75
757,0.75
744,0.75
4,0.76
81,0.76
204,0.76
212,0.76
728,0.76
10,0.76
16,0.76
460,0.76
92,0.76
207,0.76
183,0.76
442,0.76
30,0.77
45,0.77
60,0.77
258,0.77
740,0.77
51,0.78
550,0.78
252,0.78
115,0.78
251,0.78
71,0.79
754,0.79
175,0.79
117,0.79
78,0.79
94,0.79
612,0.79
125,0.79
68,0.79
206,0.79
108,0.79
222,0.79
120,0.79
66,0.79
762,0.79
14,0.79
35,0.79
750,0.79
260,0.8
62,0.8
265,0.8
55,0.8
152,0.8
53,0.8
611,0.8
90,0.8
130,0.8
154,0.8
745,0.81
163,0.81
70,0.81
487,0.81
254,0.81
232,0.82
239,0.82
111,0.82
256,0.82
218,0.82
76,0.82
166,0.82
201,0.82
150,0.83
180,0.83
209,0.83
665,0.83
126,0.83
233,0.83
205,0.83
237,0.84
234,0.84
685,0.84
268,0.84
230,0.84
344,0.84
200,0.84
110,0.85
83,0.85
577,0.85
501,0.86
751,0.86
292,0.86
164,0.86
267,0.86
165,0.86
687,0.86
167,0.86
169,0.87
224,0.87
245,0.87
605,0.87
202,0.87
155,0.87
236,0.87
177,0.88
161,0.88
128,0.89
243,0.89
96,0.89
607,0.89
176,0.89
246,0.9
127,0.9
158,0.92
901,0.92
106,0.93
625,0.96
