route_id,start_ix,end_ix
2,1,150
4,151,259
10,260,378
14,379,486
16,487,554
18,555,626
20,627,730
28,731,850
30,851,928
33,929,1017
35,1018,1098
40,1099,1189
45,1190,1294
51,1295,1395
53,1396,1482
55,1483,1561
60,1562,1675
62,1676,1770
66,1771,1839
68,1840,1895
70,1896,1975
71,1976,2019
76,2020,2103
78,2104,2200
81,2201,2303
83,2304,2386
90,2387,2525
92,2526,2604
94,2605,2709
96,2710,2769
102,2770,2863
105,2864,2947
108,2948,3069
110,3070,3170
111,3171,3261
115,3262,3364
117,3365,3449
120,3450,3571
125,3572,3655
126,3656,3703
127,3704,3748
128,3749,3799
130,3800,3889
150,3890,3975
152,3976,4072
154,4073,4146
155,4147,4204
156,4205,4278
158,4279,4355
161,4356,4425
163,4426,4496
164,4497,4597
165,4598,4695
166,4696,4760
167,4761,4857
169,4858,4996
175,4997,5025
176,5026,5119
177,5120,5143
180,5144,5249
183,5250,5354
190,5355,5419
200,5420,5457
201,5458,5519
202,5520,5579
204,5580,5650
205,5651,5782
206,5783,5863
207,5864,5927
209,5928,5996
210,5997,6084
211,6085,6149
212,6150,6224
217,6225,6281
218,6282,6310
220,6311,6336
222,6337,6408
224,6409,6479
230,6480,6540
232,6541,6637
233,6638,6696
234,6697,6773
236,6774,6857
239,6858,6925
243,6926,6996
245,6997,7058
246,7059,7125
251,7126,7198
252,7199,7242
254,7243,7302
256,7303,7426
258,7427,7506
260,7507,7639
265,7640,7702
266,7703,7786
267,7787,7875
268,7876,7968
270,7969,8065
292,8066,8120
344,8121,8167
442,8168,8212
450,8213,8236
460,8237,8311
485,8312,8369
487,8370,8483
534,8484,8534
550,8535,8578
577,8579,8587
603,8588,8657
605,8658,8689
607,8690,8727
611,8728,8807
612,8808,8880
620,8881,8920
625,8921,8938
665,8939,8975
685,8976,9004
687,9005,9042
704,9043,9077
705,9078,9104
710,9105,9129
720,9130,9166
728,9167,9192
733,9193,9227
734,9228,9255
740,9256,9274
744,9275,9311
745,9312,9332
750,9333,9351
751,9352,9371
754,9372,9394
757,9395,9417
760,9418,9440
762,9441,9472
770,9473,9498
780,9499,9530
788,9531,9546
794,9547,9584
801,9585,9605
802,9606,9619
803,9620,9633
804,9634,9654
805,9655,9662
806,9663,9674
901,9675,9693
910,9694,9713
